Atribut;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
Pengertian Pendapatan Nasional;SALAH;BENAR;SALAH;BENAR;BENAR;BENAR;BENAR;SALAH;SALAH;SALAH;SALAH;BENAR;BENAR;SALAH;SALAH;BENAR;BENAR;BENAR;SALAH;BENAR;BENAR;SALAH;BENAR;BENAR;SALAH;BENAR;BENAR;BENAR;SALAH;BENAR;SALAH;BENAR;BENAR;BENAR;BENAR
Konsep Pendapatan Nasional;SALAH;SALAH;SALAH;BENAR;SALAH;BENAR;BENAR;SALAH;BENAR;SALAH;SALAH;SALAH;BENAR;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;BENAR;BENAR;BENAR;BENAR;BENAR;SALAH;SALAH;SALAH;BENAR;SALAH;SALAH;SALAH;BENAR;BENAR;BENAR;BENAR
Konsep Pendapatan Nasional;SALAH;SALAH;SALAH;BENAR;BENAR;SALAH;SALAH;SALAH;BENAR;BENAR;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH;SALAH;BENAR;SALAH;SALAH;BENAR;BENAR;SALAH;BENAR;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH
Perhitungan Pendapatan Nasional;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH;SALAH;BENAR;BENAR;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH
Komponen Pendapatan Nasional;SALAH;SALAH;BENAR;BENAR;SALAH;SALAH;BENAR;BENAR;BENAR;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH;SALAH;BENAR;BENAR;SALAH;BENAR;SALAH;SALAH;SALAH;BENAR;BENAR;SALAH;SALAH;SALAH;SALAH
Pendekatan Pengeluaran;SALAH;BENAR;SALAH;BENAR;BENAR;BENAR;SALAH;SALAH;BENAR;BENAR;SALAH;SALAH;SALAH;BENAR;SALAH;SALAH;BENAR;SALAH;BENAR;BENAR;BENAR;SALAH;BENAR;SALAH;SALAH;BENAR;SALAH;SALAH;SALAH;BENAR;SALAH;BENAR;BENAR;SALAH;SALAH
Pendekatan Produksi;BENAR;BENAR;SALAH;SALAH;SALAH;BENAR;BENAR;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH;SALAH;BENAR;SALAH;SALAH;BENAR;SALAH;BENAR;BENAR;BENAR;SALAH;BENAR;BENAR;SALAH;SALAH
Pendapatan Perkapita;SALAH;BENAR;BENAR;BENAR;BENAR;BENAR;BENAR;SALAH;BENAR;BENAR;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH;BENAR;BENAR;BENAR;SALAH;BENAR;BENAR;SALAH;BENAR;BENAR;BENAR;SALAH;SALAH;BENAR;SALAH;BENAR;BENAR;SALAH
Pendapatan Perkapita;BENAR;BENAR;BENAR;BENAR;BENAR;SALAH;SALAH;SALAH;BENAR;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;BENAR;BENAR;BENAR;BENAR;SALAH;BENAR;BENAR;SALAH;BENAR;SALAH;BENAR;SALAH;BENAR;SALAH;BENAR;BENAR;BENAR;SALAH
Konsep Pendapatan Nasional;SALAH;BENAR;BENAR;BENAR;BENAR;BENAR;BENAR;SALAH;BENAR;BENAR;BENAR;SALAH;SALAH;SALAH;BENAR;BENAR;BENAR;SALAH;SALAH;BENAR;BENAR;SALAH;SALAH;SALAH;BENAR;BENAR;SALAH;BENAR;SALAH;SALAH;BENAR;SALAH;SALAH;BENAR;BENAR
Pendekatan Pengeluaran;BENAR;BENAR;BENAR;BENAR;BENAR;SALAH;SALAH;SALAH;BENAR;BENAR;BENAR;BENAR;SALAH;BENAR;SALAH;SALAH;BENAR;SALAH;SALAH;BENAR;SALAH;SALAH;BENAR;BENAR;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH
Indeks Gini, Distribusi Pendapatan;BENAR;BENAR;SALAH;SALAH;SALAH;BENAR;BENAR;SALAH;SALAH;BENAR;SALAH;BENAR;SALAH;BENAR;SALAH;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH;BENAR;SALAH;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH
Distribusi Pendapatan;SALAH;SALAH;SALAH;BENAR;BENAR;BENAR;BENAR;SALAH;BENAR;SALAH;BENAR;SALAH;SALAH;BENAR;BENAR;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH;SALAH;BENAR;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH
Pendekatan Pendapatan;BENAR;SALAH;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;BENAR;SALAH;BENAR;SALAH;SALAH;SALAH;BENAR;SALAH;BENAR;SALAH;SALAH;BENAR;BENAR;BENAR;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH
Konsep Pendapatan Nasional;SALAH;BENAR;BENAR;BENAR;SALAH;BENAR;SALAH;BENAR;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;BENAR;SALAH;SALAH;BENAR;SALAH;BENAR;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;SALAH;BENAR;SALAH
