Soal;Pertanyaan;Kunci Jawaban;Atribut
Soal 1;"Perhatikan beberapa pernyataan berikut ini:       
1 Pendapatan Nasional adalah jumlah seluruh pendapatan dan pengeluaran seluruh pelaku ekonomi suatu negara
2   Konsumsi masyarakat tidak berpengaruh dalam jumlah Pendapatan Nasional suatu negara
3    Pendapatan Nasional suatu negara tidak ditentukan oleh total produksi barang atau jasa, melainkan diukur dengan pendapatan dan pengeluaran pelaku ekonominya
4    Pendapatan Nasional suatu negara tidak hanya ditentukan oleh total produksi barang atau jasa, melainkan juga diukur dengan pendapatan dan pengeluaran pelaku ekonominya
5    Pendapatan Nasional dapat dihitung dengan menjumlahkan seluruh pendapatan r, w, i, p yang diperoleh oleh produsen
Dari pernyataan tersebut, pengertian Pendapatan Nasional yang BENAR ditunjukkan oleh nomor?";1, 4, dan 5;Pengertian Pendapatan Nasional
Soal 2;Apa yang dimaksud dengan Gross Domestic Product GDP?;Total pendapatan yang dihasilkan dalam batas wilayah suatu negara;Konsep Pendapatan Nasional
Soal 3;Suatu negara memiliki pendapatan nasional sebesar Rp2.000 triliun pada tahun tertentu. Jika total konsumsi rumah tangga adalah Rp1.200 triliun dan investasi sebesar Rp400 triliun, berapa besar nilai ekspor netto negara tersebut?;Rp400 triliun;Konsep Pendapatan Nasional
Soal 4;Dalam suatu negara pada tahun 2021, diketahui GDP sebesar Rp10 triliun, GNP sebesar Rp11 triliun, dan depresiasi bersih Rp1 triliun. Hitunglah Net National Product NNP pada tahun tersebut!;Rp10 triliun;Perhitungan Pendapatan Nasional
Soal 5;Berikut adalah beberapa komponen pendapatan nasional suatu negara. Manakah di antara berikut yang termasuk dalam komponen pendapatan primer?;Gaji dan Upah;Komponen Pendapatan Nasional
Soal 6;"Tentukan Pendapatan Nasional suatu negara dengan menggunakan pendekatan Pengeluaran berdasarkan data berikut:
 Konsumsi Rumah Tangga: 3.000.000
Investasi: 1.500.000
   Belanja Pemerintah: 2.000.000
   Ekspor: 1.200.000
    Impor: 800.000
Total pendapatan nasionalnya adalah?";Rp6.900.000;Pendekatan Pengeluaran
Soal 7;Sebuah pabrik memproduksi 1.000 unit sepeda motor senilai Rp 10.000.000 per unit. Pabrik tersebut juga memberikan upah kepada pekerja sebesar Rp 2.000.000. Berapa total pendapatan nasional pendekatan produksi?;Rp10.000.000;Pendekatan Produksi
Soal 8;Penduduk suatu negara adalah 5.000.000 orang, dan total pendapatan nasionalnya adalah 25.000.000. Berapakah Pendapatan Perkapita negara tersebut?;5;Pendapatan Perkapita
Soal 9;Dalam suatu negara, Pendapatan Nasional adalah 40.000.000 dan Pendapatan Perkapita adalah 8.000. Berapakah jumlah penduduk negara tersebut?;5.000;Pendapatan Perkapita
Soal 10;Jika tingkat inflasi suatu negara meningkat secara signifikan, bagaimana hal ini dapat memengaruhi pengukuran pendapatan nasional?;Mengurangi nilai pendapatan nasional;Konsep Pendapatan Nasional
Soal 11;"Apa yang dimaksud dengan konsep ""pengeluaran agregat"" dalam perhitungan pendapatan nasional?";Total pengeluaran seluruh sektor ekonomi dalam suatu tahun;Pendekatan Pengeluaran
Soal 12;Pada suatu negara, distribusi pendapatan dapat diukur menggunakan Indeks Gini. Jika nilai Indeks Gini adalah 0,2, apa yang dapat disimpulkan tentang distribusi pendapatan di negara tersebut?;Distribusi pendapatan tidak merata;Indeks Gini, Distribusi Pendapatan
Soal 13;Pada sebuah negara, 20% penduduk memiliki 80% dari total pendapatan nasional. Apa yang dapat disimpulkan tentang distribusi pendapatan di negara ini?;Distribusi pendapatan sangat tidak merata;Distribusi Pendapatan
Soal 14;Seorang petani memperoleh pendapatan sebesar Rp 50.000.000 dalam setahun. Dia menyimpan Rp 10.000.000 dan mengeluarkan sisanya untuk konsumsi. Berapa kontribusi petani ini terhadap pendapatan nasional pendekatan pendapatan?;Rp50.000.000;Pendekatan Pendapatan
Soal 15;Apa yang dimaksud dengan pendapatan nasional bruto Gross National Product/GNP?;Pendapatan total yang diterima oleh penduduk suatu negara dalam dan luar negeri dalam satu tahun;Konsep Pendapatan Nasional
